date,store_id,product_id,qty_sold,price,on_promo,lag_1,lag_7,rolling_mean_7,rolling_std_7,day_of_week,month,promo_effect,predicted_sales
2023-01-08,Store_1,Product_1,31,121,0,32.0,49.0,36.142857142857146,8.802056036869482,6,1,0,34.310519707910984
2023-01-09,Store_1,Product_1,29,158,0,31.0,28.0,33.57142857142857,6.8278142636606365,0,1,0,29.6908543783742
2023-01-10,Store_1,Product_1,30,287,0,29.0,30.0,33.714285714285715,6.701101544131526,1,1,0,29.633363683595654
2023-01-11,Store_1,Product_1,23,343,0,30.0,46.0,33.714285714285715,6.701101544131526,2,1,0,26.08681910425797
2023-01-12,Store_1,Product_1,29,406,0,23.0,28.0,30.428571428571427,5.126959555693249,3,1,0,26.545193417513666
2023-01-13,Store_1,Product_1,27,266,0,29.0,40.0,30.571428571428573,5.061526214398938,4,1,0,25.99539701792963
2023-01-14,Store_1,Product_1,47,415,1,27.0,32.0,28.714285714285715,2.984084768360634,5,1,47,47.74310966678718
2023-01-15,Store_1,Product_1,32,445,0,47.0,31.0,30.857142857142858,7.581305327988743,6,1,0,34.51806867556316
2023-01-16,Store_1,Product_1,25,191,0,32.0,29.0,31.0,7.593857166596347,0,1,0,25.31431107597914
2023-01-17,Store_1,Product_1,27,363,0,25.0,30.0,30.428571428571427,7.913219801006898,1,1,0,25.61461683238208
2023-01-18,Store_1,Product_1,38,149,1,27.0,23.0,30.0,8.020806277010646,2,1,38,39.31758129822564
2023-01-19,Store_1,Product_1,28,489,0,38.0,29.0,32.142857142857146,7.840675383931571,3,1,0,25.9802278323492
2023-01-20,Store_1,Product_1,26,409,0,28.0,27.0,32.0,7.916228058025279,4,1,0,26.28000565767509
2023-01-21,Store_1,Product_1,32,261,0,26.0,47.0,31.857142857142858,8.029706749078107,5,1,0,34.54003241476457
2023-01-22,Store_1,Product_1,55,369,1,32.0,32.0,29.714285714285715,4.572172558506729,6,1,55,52.53266535269186
2023-01-23,Store_1,Product_1,28,351,0,55.0,25.0,33.0,10.677078252031311,0,1,0,25.96233141942438
2023-01-24,Store_1,Product_1,44,312,1,28.0,27.0,33.42857142857143,10.357881747042407,1,1,44,42.28422315967802
2023-01-25,Store_1,Product_1,22,379,0,44.0,38.0,35.857142857142854,10.589752458998136,2,1,0,26.066198950330314
2023-01-26,Store_1,Product_1,45,287,1,22.0,28.0,33.57142857142857,11.716898663286043,3,1,45,42.02397593281131
2023-01-27,Store_1,Product_1,29,400,0,45.0,26.0,36.0,12.124355652982137,4,1,0,27.78525213590719
2023-01-28,Store_1,Product_1,31,108,0,29.0,32.0,36.42857142857143,11.759494644146669,5,1,0,33.419632017948786
2023-01-29,Store_1,Product_1,38,235,0,31.0,55.0,36.285714285714285,11.828134337449919,6,1,0,37.31046416435215
2023-01-30,Store_1,Product_1,28,180,0,38.0,28.0,33.857142857142854,8.668497975016038,0,1,0,26.958737189182568
2023-01-31,Store_1,Product_1,28,388,0,28.0,44.0,33.857142857142854,8.668497975016038,1,1,0,26.502388711540792
2023-02-01,Store_1,Product_1,31,330,0,28.0,22.0,31.571428571428573,7.590721152765902,2,2,0,25.55108914041542
2023-02-02,Store_1,Product_1,30,234,0,31.0,45.0,32.857142857142854,6.3620901028035215,3,2,0,26.46246956457321
2023-02-03,Store_1,Product_1,29,132,0,30.0,29.0,30.714285714285715,3.4503277967117914,4,2,0,27.380378050550338
2023-02-04,Store_1,Product_1,37,315,0,29.0,31.0,30.714285714285715,3.4503277967117914,5,2,0,35.745597105961
2023-02-05,Store_1,Product_1,35,459,0,37.0,38.0,31.571428571428573,4.197504927816967,6,2,0,37.397743202114526
2023-02-06,Store_1,Product_1,41,326,1,35.0,28.0,31.142857142857142,3.532165125838626,0,2,41,41.95333972361099
2023-02-07,Store_1,Product_1,40,230,1,41.0,28.0,33.0,4.795831523312725,1,2,40,42.28221937444704
2023-02-08,Store_1,Product_1,21,354,0,40.0,31.0,34.714285714285715,4.8550415622761225,2,2,0,28.50702751930307
2023-02-09,Store_1,Product_1,27,306,0,21.0,30.0,33.285714285714285,7.0878836924779804,3,2,0,28.450241297790026
2023-02-10,Store_1,Product_1,30,278,0,27.0,29.0,32.857142857142854,7.403345447128877,4,2,0,26.62082507323219
2023-02-11,Store_1,Product_1,37,195,0,30.0,37.0,33.0,7.3257536586119745,5,2,0,35.92055147937286
2023-02-12,Store_1,Product_1,49,330,1,37.0,35.0,33.0,7.3257536586119745,6,2,49,49.20735918745871
2023-02-13,Store_1,Product_1,31,112,0,49.0,41.0,35.0,9.539392014169456,0,2,0,28.264532967741555
2023-02-14,Store_1,Product_1,27,185,0,31.0,40.0,33.57142857142857,9.235026490796566,1,2,0,26.57153455636183
2023-02-15,Store_1,Product_1,22,161,0,27.0,21.0,31.714285714285715,9.031690238899287,2,2,0,25.041362034083683
2023-02-16,Store_1,Product_1,29,383,0,22.0,27.0,31.857142857142858,8.839844859659994,3,2,0,25.913695180903034
2023-02-17,Store_1,Product_1,39,430,1,29.0,30.0,32.142857142857146,8.68770340632037,4,2,39,40.32977580286979
2023-02-18,Store_1,Product_1,40,330,0,39.0,37.0,33.42857142857143,8.978811035936086,5,2,0,35.53195926936488
2023-02-19,Store_1,Product_1,31,382,0,40.0,49.0,33.857142857142854,9.245333443212878,6,2,0,34.23541938190992
2023-02-20,Store_1,Product_1,44,332,1,31.0,31.0,31.285714285714285,6.395683067879615,0,2,44,41.69718228663902
2023-02-21,Store_1,Product_1,23,236,0,44.0,27.0,33.142857142857146,7.988086367179806,1,2,0,26.386429027005715
2023-02-22,Store_1,Product_1,25,333,0,23.0,22.0,32.57142857142857,8.61891607371335,2,2,0,25.837098354207424
2023-02-23,Store_1,Product_1,43,473,1,25.0,29.0,33.0,8.062257748298553,3,2,43,41.34892548044035
2023-02-24,Store_1,Product_1,28,212,0,43.0,39.0,35.0,8.621678104251707,4,2,0,26.58631208025849
2023-02-25,Store_1,Product_1,31,367,0,28.0,40.0,33.42857142857143,8.77225062070054,5,2,0,35.03975688734758
2023-02-26,Store_1,Product_1,37,212,0,31.0,31.0,32.142857142857146,8.295150620062538,6,2,0,35.48447684133484
2023-02-27,Store_1,Product_1,25,180,0,37.0,44.0,33.0,8.465616732800198,0,2,0,25.407231112105624
2023-02-28,Store_1,Product_1,31,229,0,25.0,23.0,30.285714285714285,7.319250547114011,1,2,0,25.434041372416047
2023-03-01,Store_1,Product_1,26,323,0,31.0,25.0,31.428571428571427,6.579187965525411,2,3,0,25.686561467853135
2023-03-02,Store_1,Product_1,21,225,0,26.0,43.0,31.571428571428573,6.425396041156871,3,3,0,25.27375315456097
2023-03-03,Store_1,Product_1,22,317,0,21.0,28.0,28.428571428571427,5.159365040297875,4,3,0,25.151427729748878
2023-03-04,Store_1,Product_1,36,423,0,22.0,31.0,27.571428571428573,5.711308748356013,5,3,0,34.69777021600656
2023-03-05,Store_1,Product_1,37,222,0,36.0,37.0,28.285714285714285,6.473388749701518,6,3,0,35.1060361067106
2023-03-06,Store_1,Product_1,21,379,0,37.0,25.0,28.285714285714285,6.473388749701518,0,3,0,24.877970748105113
2023-03-07,Store_1,Product_1,25,297,0,21.0,31.0,27.714285714285715,6.969320524371717,1,3,0,24.51511114408287
2023-03-08,Store_1,Product_1,26,339,0,25.0,26.0,26.857142857142858,6.866065623255978,2,3,0,24.009181070694577
2023-03-09,Store_1,Product_1,21,286,0,26.0,21.0,26.857142857142858,6.866065623255978,3,3,0,23.86716364448313
2023-03-10,Store_1,Product_1,26,358,0,21.0,22.0,26.857142857142858,6.866065623255978,4,3,0,24.438784393200493
2023-03-11,Store_1,Product_1,34,445,0,26.0,36.0,27.428571428571427,6.5538066001661415,5,3,0,34.82307914944739
2023-03-12,Store_1,Product_1,48,247,1,34.0,37.0,27.142857142857142,6.148944934663518,6,3,48,47.80715444427284
2023-03-13,Store_1,Product_1,27,227,0,48.0,21.0,28.714285714285715,9.551863443229047,0,3,0,24.623619582009578
2023-03-14,Store_1,Product_1,42,228,1,27.0,25.0,29.571428571428573,8.997354108424384,1,3,42,40.1620196421463
2023-03-15,Store_1,Product_1,31,250,0,42.0,26.0,32.0,9.814954576223641,2,3,0,25.781571458520933
2023-03-16,Store_1,Product_1,30,351,0,31.0,21.0,32.714285714285715,9.481812163545634,3,3,0,25.94007126509199
2023-03-17,Store_1,Product_1,45,159,1,30.0,26.0,34.0,8.144527815247075,4,3,45,42.81175996008404
2023-03-18,Store_1,Product_1,31,403,0,45.0,34.0,36.714285714285715,8.199883855158868,5,3,0,35.81148901885293
2023-03-19,Store_1,Product_1,50,108,1,31.0,48.0,36.285714285714285,8.440266301373143,6,3,50,52.3927040051188
2023-03-20,Store_1,Product_1,29,403,0,50.0,27.0,36.57142857142857,8.92295061171177,0,3,0,29.170695142102126
2023-03-21,Store_1,Product_1,38,153,1,29.0,42.0,36.857142857142854,8.591246929842235,1,3,38,42.137921232203695
2023-03-22,Store_1,Product_1,43,215,1,38.0,31.0,36.285714285714285,8.3209431699835,2,3,43,44.298922366720745
2023-03-23,Store_1,Product_1,46,203,1,43.0,30.0,38.0,8.286535263104021,3,3,46,45.307545885466325
2023-03-24,Store_1,Product_1,24,211,0,46.0,45.0,40.285714285714285,7.910210399946908,4,3,0,28.699846877747124
2023-03-25,Store_1,Product_1,39,448,0,24.0,31.0,37.285714285714285,9.621404708847265,5,3,0,38.61193001641255
2023-03-26,Store_1,Product_1,32,437,0,39.0,50.0,38.42857142857143,9.216961590045857,6,3,0,36.13700829754458
2023-03-27,Store_1,Product_1,22,307,0,32.0,29.0,35.857142857142854,7.861903319777195,0,3,0,28.41009535900717
2023-03-28,Store_1,Product_1,29,167,0,22.0,38.0,34.857142857142854,9.209208641871664,1,3,0,27.172951841735543
2023-03-29,Store_1,Product_1,21,403,0,29.0,43.0,33.57142857142857,9.324826054805579,2,3,0,25.356688020683922
2023-03-30,Store_1,Product_1,24,491,0,21.0,46.0,30.428571428571427,9.324826054805587,3,3,0,25.068672561331315
2023-03-31,Store_1,Product_1,27,227,0,24.0,24.0,27.285714285714285,6.473388749701525,4,3,0,24.714636770379162
2023-04-01,Store_1,Product_1,31,470,0,27.0,39.0,27.714285714285715,6.317021600783256,5,4,0,34.825188812693455
2023-04-02,Store_1,Product_1,36,337,0,31.0,32.0,26.571428571428573,4.353433237386483,6,4,0,35.342325767888184
2023-04-03,Store_1,Product_1,41,150,1,36.0,22.0,27.142857142857142,5.336308693862345,0,4,41,39.429262987715475
2023-04-04,Store_1,Product_1,41,126,1,41.0,29.0,29.857142857142858,6.890296835129145,1,4,41,39.60152451610292
2023-04-05,Store_1,Product_1,22,196,0,41.0,21.0,31.571428571428573,8.038597366397186,2,4,0,25.079427416971974
2023-04-06,Store_1,Product_1,21,416,0,22.0,24.0,31.714285714285715,7.82547731694977,3,4,0,25.762177722223136
2023-04-07,Store_1,Product_1,23,291,0,21.0,27.0,31.285714285714285,8.380817098475266,4,4,0,25.5593394145123
2023-04-08,Store_1,Product_1,31,271,0,23.0,31.0,30.714285714285715,8.845230083954595,5,4,0,34.45784481481658
2023-04-09,Store_1,Product_1,50,479,1,31.0,36.0,30.714285714285715,8.845230083954595,6,4,50,49.50652073539607
2023-04-10,Store_1,Product_1,44,448,1,50.0,41.0,32.714285714285715,11.441361890297935,0,4,44,41.43889008598877
2023-04-11,Store_1,Product_1,21,194,0,44.0,41.0,33.142857142857146,11.852265204432042,1,4,0,24.412683929728168
2023-04-12,Store_1,Product_1,38,215,1,21.0,22.0,30.285714285714285,12.051476890327402,2,4,38,39.1216441855586
2023-04-13,Store_1,Product_1,25,260,0,38.0,21.0,32.57142857142857,11.731114508820026,3,4,0,25.164558353023885
2023-04-14,Store_1,Product_1,23,380,0,25.0,23.0,33.142857142857146,11.156889820921892,4,4,0,26.622562607177368
2023-04-15,Store_1,Product_1,55,157,1,23.0,31.0,33.142857142857146,11.156889820921892,5,4,55,52.6602368378837
2023-04-16,Store_1,Product_1,33,379,0,55.0,50.0,36.57142857142857,13.770223223283185,6,4,0,35.14286750955407
2023-04-17,Store_1,Product_1,22,441,0,33.0,44.0,34.142857142857146,12.44224753850862,0,4,0,24.424688975022544
2023-04-18,Store_1,Product_1,27,254,0,22.0,21.0,31.0,12.315302134607451,1,4,0,25.044806831414725
2023-04-19,Store_1,Product_1,45,372,1,27.0,38.0,31.857142857142858,11.696560340951692,2,4,45,40.97924414250866
2023-04-20,Store_1,Product_1,28,398,0,45.0,25.0,32.857142857142854,12.575486358103898,3,4,0,25.974646364849242
2023-04-21,Store_1,Product_1,26,269,0,28.0,23.0,33.285714285714285,12.311434870535143,4,4,0,26.749453964991453
2023-04-22,Store_1,Product_1,37,405,0,26.0,55.0,33.714285714285715,11.940327825123925,5,4,0,35.80532576511409
2023-04-23,Store_1,Product_1,39,415,0,37.0,33.0,31.142857142857142,7.819389819088016,6,4,0,35.534039525082385
2023-04-24,Store_1,Product_1,30,135,0,39.0,22.0,32.0,8.366600265340765,0,4,0,25.480446605505268
2023-04-25,Store_1,Product_1,24,499,0,30.0,27.0,33.142857142857146,7.244045173533264,1,4,0,27.5789610372889
2023-04-26,Store_1,Product_1,23,191,0,24.0,45.0,32.714285714285715,7.7398166583428845,2,4,0,25.487593512128832
2023-04-27,Store_1,Product_1,22,314,0,23.0,28.0,29.571428571428573,6.241184258807072,3,4,0,25.652829236759185
2023-04-28,Store_1,Product_1,26,285,0,22.0,26.0,28.714285714285715,6.872997543873816,4,4,0,25.248082485089107
2023-04-29,Store_1,Product_1,36,441,0,26.0,37.0,28.714285714285715,6.872997543873816,5,4,0,33.963549397661325
2023-04-30,Store_1,Product_1,31,425,0,36.0,39.0,28.571428571428573,6.6797490685689604,6,4,0,33.535826983128416
